head,type,tail,meta
MultiHop-RAG,based on,GPT-4,"{'spans': [[82, 132]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
MultiHop-RAG,uses,GPT-4,"{'spans': [[82, 132]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
MultiHop-RAG,programming language,GPT-4,"{'spans': [[82, 132]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
benchmarking,facet of,RAG systems,"{'spans': [[123, 173]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
RAG systems,use,benchmarking,"{'spans': [[123, 173]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
benchmarking,subclass of,ad- vancement,"{'spans': [[164, 214]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
benchmarking,facet of,ad- vancement,"{'spans': [[164, 214]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
benchmarking,part of,ad- vancement,"{'spans': [[164, 214]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
entity names,subclass of,temporal indicators,"{'spans': [[205, 255]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
"“yes"", “no"", entity names",subclass of,ground truth,"{'spans': [[205, 255]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
before,subclass of,temporal indicators,"{'spans': [[205, 255]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
after,subclass of,temporal indicators,"{'spans': [[205, 255]], 'source': 'e61dd173b32a431d9c190d77bfac15b3'}"
accuracy,subclass of,metric,"{'spans': [[0, 50]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
accuracy metric,subclass of,metric,"{'spans': [[0, 50]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
gen- eration,has effect,ev- idence,"{'spans': [[0, 50]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
LlamaIndex,instance of,RAG framework,"{'spans': [[43, 93]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
LlamaIndex,use,RAG framework,"{'spans': [[43, 93]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
LLM,instance of,agent framework,"{'spans': [[86, 136]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
RAG framework,subclass of,agent framework,"{'spans': [[86, 136]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
LLM-agent,instance of,RAG framework,"{'spans': [[86, 136]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
Claude 2,follows,1.1,"{'spans': [[129, 179]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
1.1,followed by,Claude 2,"{'spans': [[129, 179]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
Retrieval-based language models and applications,publisher,Association for Computational Linguistics,"{'spans': [[172, 222]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
Retrieval,subclass of,language model,"{'spans': [[172, 222]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
Retrieval-based language models and applications,author,Association for Computational Linguistics,"{'spans': [[172, 222]], 'source': '37e5f86a524643b8b52f8f1273245f74'}"
Arthur Mensch,has part,Jean-Baptiste Lespia Lespia,"{'spans': [[0, 50]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Katie Milli- can,has part,Katie Milli- can,"{'spans': [[0, 50]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Jean-Baptiste Lespia Lespia Lespia,member of,Arthur Mensch,"{'spans': [[0, 50]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Tom Hennigan,has part,Tom Hennigan,"{'spans': [[50, 100]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Tom Hennigan,has part,Saffron Huang,"{'spans': [[50, 100]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Bogdan Damoc,has part,Aidan Clark,"{'spans': [[50, 100], [44, 94]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Aidan Clark,part of,Bogdan Damoc,"{'spans': [[50, 100], [44, 94]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Geoffrey Irving,field of work,Improving language,"{'spans': [[100, 150]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Improving language,author,Geoffrey Irving,"{'spans': [[100, 150]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Oriol Vinyals,field of work,Improving language,"{'spans': [[100, 150]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
39th International Conference on Machine Learning,part of the series,Proceedings of Machine Learning Research,"{'spans': [[150, 200]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Proceedings of Machine Learning Research,has part,39th International Conference on Machine Learning,"{'spans': [[150, 200]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
39th International Conference on Machine Learning,part of,Proceedings of Machine Learning Research,"{'spans': [[150, 200]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Jiawei Chen,field of work,retrieval-augmented generation,"{'spans': [[200, 250]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Shahul Es,field of work,retrieval-augmented generation,"{'spans': [[200, 250]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Jiatong Yu,spouse,Danqi,"{'spans': [[250, 300]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Danqi,spouse,Jiatong Yu,"{'spans': [[250, 300]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Jiatong Yu,student,Danqi,"{'spans': [[250, 300]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Danqi,student of,Jiatong Yu,"{'spans': [[250, 300]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
2023.2023,point in time,2023,"{'spans': [[300, 350]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Autogpt,developer,Significant Gravitas,"{'spans': [[350, 400]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Significant Gravitas,publication date,2023,"{'spans': [[350, 400], [0, 50]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Significant Gravitas,use,Autogpt,"{'spans': [[350, 400]], 'source': 'b1d4465de66a440ba3772cb06db246cd'}"
Significant Gravitas,inception,2023,"{'spans': [[0, 50]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Significant Gravitas,has part,Michael Günther,"{'spans': [[0, 50]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Bo Wang,spouse,Nan Wang,"{'spans': [[49, 99]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Tanguy Abel,has part,Abdessalem,"{'spans': [[49, 99]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Nan Wang,spouse,Bo Wang,"{'spans': [[49, 99]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Jina embeddings 2,use,text embeddings,"{'spans': [[98, 148]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Jina embeddings,use,text embeddings,"{'spans': [[98, 148]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Jina embeddings 2,instance of,text embeddings,"{'spans': [[98, 148]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
28th Inter- national Conference on Computational Linguistics,point in time,2020,"{'spans': [[147, 197]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
28th Inter- national Conference on Computational Linguistics,inception,2020,"{'spans': [[147, 197]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
28th Inter- national Conference on Computational Linguistics,publication date,2020,"{'spans': [[147, 197]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Barcelona,country,Spain,"{'spans': [[196, 246]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Spain,capital,Barcelona,"{'spans': [[196, 246]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Blanche Savary,country of citizenship,Spain,"{'spans': [[196, 246]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Devendra Singh Chaplot,has part,Chris Bamford,"{'spans': [[245, 295]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Chris Bamford,has part,Devendra Singh Chaplot,"{'spans': [[245, 295]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Devendra Singh Chaplot,part of,Chris Bamford,"{'spans': [[245, 295]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Pierre Stock,spouse,Marie- Anne Lachaux,"{'spans': [[294, 344]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Szymon Antoniak,student,Teven Le Scao,"{'spans': [[294, 344]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Teven Le Scao,has part,Théophile Gerve Gerve,"{'spans': [[294, 344]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Timothée Lacroix,work period (start),2024,"{'spans': [[343, 393]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
2020 Summer Olympics,point in time,2020,"{'spans': [[343, 393]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
HoVer,use,many-hop,"{'spans': [[392, 442]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
HoVer,use,many-hop fact extraction,"{'spans': [[392, 442]], 'source': '4f50c386710e410bb1321fbf6dca457e'}"
Jimmy Lin,work period (start),2023,"{'spans': [[0, 50]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
David Alfonso-Hermelo,work period (start),2023,"{'spans': [[0, 50]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Daniel Khashabi,field of work,information retrieval,"{'spans': [[47, 97]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
arXiv,main subject,information retrieval,"{'spans': [[47, 97]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Looking Beyond the Surface,publication date,2018,"{'spans': [[94, 144]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Looking Beyond the Surface,author,Michael Roth,"{'spans': [[94, 144]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Looking Beyond the Surface,author,Shyam Upadhyay,"{'spans': [[94, 144]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Looking Beyond the Surface,author,Dan Roth,"{'spans': [[94, 144]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Lianzhe Huang,member of,Association for Computational Linguistics,"{'spans': [[141, 191]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Yi Liu,member of,Association for Computational Linguistics,"{'spans': [[141, 191]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Shicheng Li,member of,Association for Computational Linguistics,"{'spans': [[141, 191]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
GPT4,developer,OpenAI,"{'spans': [[188, 238]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
GPT4,publication date,2023,"{'spans': [[188, 238]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
GPT4,publisher,OpenAI,"{'spans': [[188, 238]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Jon Saad-Falcon,occupation,newcomper,"{'spans': [[235, 285]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Jon Saad-Falcon,student,Omar Khattab,"{'spans': [[235, 285]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Omar Khattab,student of,Jon Saad-Falcon,"{'spans': [[235, 285]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Ares,publication date,2023,"{'spans': [[282, 332]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Ares,instance of,evalua- tion framework,"{'spans': [[282, 332]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Ares,use,evalua- tion,"{'spans': [[282, 332]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Mari Ostendorf,field of work,embedder,"{'spans': [[329, 379]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Yushi Hu,has part,Mari Ostendorf,"{'spans': [[329, 379]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Mari Ostendorf,part of,Yushi Hu,"{'spans': [[329, 379]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
2018,point in time,2018,"{'spans': [[376, 426], [0, 50], [294, 344], [135, 185]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Fever,instance of,dataset,"{'spans': [[376, 426], [0, 50]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
2018.Fever,point in time,2018,"{'spans': [[376, 426]], 'source': '8ad208dc1c704960aa8f5056ae39f3a0'}"
Fever,publication date,2018,"{'spans': [[0, 50]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Shruti Bhuti Bhargava,spouse,Prajjwal Bhargava,"{'spans': [[47, 97]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Louis Martin,student,Kevin Stone,"{'spans': [[47, 97]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Shruti Bhuti Bhargava,spouse,Shruti Bh Bhargava,"{'spans': [[47, 97]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Dan Bikel,member of sports team,Dan Bikel,"{'spans': [[94, 144]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Dan Bikel,member of sports team,Lukas Blecher,"{'spans': [[94, 144]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Lukas Blecher,has part,Dan Bikel,"{'spans': [[94, 144]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
An- thony Hartshorn,has part,Saghar Hosseini,"{'spans': [[141, 191]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Saghar Hosseini,has part,Saghar Hosseini,"{'spans': [[141, 191]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
An- thony Hartshorn,influenced by,Saghar Hosseini,"{'spans': [[141, 191]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Viktor Kerkez,place of birth,Kardas,"{'spans': [[188, 238]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Madian Khabsa,place of birth,Kardas,"{'spans': [[188, 238]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Di- ana Liskovich,has part,Di- ana Liskovich,"{'spans': [[235, 285]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Andrew Poul,has part,Andrew Poul,"{'spans': [[235, 285]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Igor Moly- bog,named after,Igor Moly- bog,"{'spans': [[235, 285]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Jeremy Reizen,instrument,stein,"{'spans': [[282, 332]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Eric Michael Smith,has part,Eric Michael Smith,"{'spans': [[282, 332]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Alan Schelten,has part,Alan Schelten,"{'spans': [[282, 332]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Angela Fan,has part,Melanie Kambadururur,"{'spans': [[329, 379]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Angela Fan,spouse,Melanie Kambadururur,"{'spans': [[329, 379]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Melanie Kambadurur,spouse,Angela Fan,"{'spans': [[329, 379]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Llama 2,developer,Thomas Scialom,"{'spans': [[376, 426]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Llama 2,developer,Sharan Narang,"{'spans': [[376, 426]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Llama 2,developer,Sergey Edunov,"{'spans': [[376, 426]], 'source': 'c17901e5ffe84f79b1c627b33f7a8885'}"
Fact or fiction,subclass of,Verifying scientific claims,"{'spans': [[0, 50]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Fact or fiction,facet of,Verifying scientific claims,"{'spans': [[0, 50]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
David Wadden,work period (start),2020,"{'spans': [[0, 50]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
2020 Con- ference on Empirical Methods in Natural Language Processing,point in time,2020,"{'spans': [[45, 95]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Empirical Methods in Natural Language Processing,subclass of,Computational Linguistics,"{'spans': [[45, 95]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Empirical Methods in Natural Language Processing,part of,Computational Linguistics,"{'spans': [[45, 95]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Furu Wei,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Liang Wang,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Nan Yang,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Xiaolong Huang,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Binxing Jiao,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Linjun Yang,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Daxin Jiang,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Rangan Majumder,field of work,linguistics,"{'spans': [[90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
arXiv preprint arXiv,part of,arXiv,"{'spans': [[135, 185], [188, 238], [368, 418], [288, 338], [47, 97], [230, 280], [322, 372], [184, 234]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
C-pack,subclass of,Packaged resources,"{'spans': [[180, 230]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
C-pack,subclass of,Packaged resources to advance general chinese embedding,"{'spans': [[180, 230]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
HotpotQA,instance of,dataset,"{'spans': [[225, 275], [215, 265], [90, 140]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
HotpotQA,publication date,2018,"{'spans': [[225, 275]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
HotpotQA,use,dataset,"{'spans': [[225, 275]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Conference on Empirical Methods in Natural Language Processing,presenter,Peitian Zhang,"{'spans': [[270, 320]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Conference on Empirical Methods in Natural Language Processing,main subject,Empirical Methods in Natural Language Processing,"{'spans': [[270, 320]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Conference on Empirical Methods in Natural Language Processing (EMNLP),presenter,Peitian Zhang,"{'spans': [[270, 320]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Ying Zhong,field of work,large language models,"{'spans': [[315, 365]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Ying Zhong,field of work,large language model,"{'spans': [[315, 365]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
Yang Liu,field of work,large language models,"{'spans': [[315, 365]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
2022.,point in time,2022,"{'spans': [[360, 410], [0, 50]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
GPT-4,publication date,2022,"{'spans': [[360, 410], [0, 50]], 'source': 'a33e1d1cb80f4f3fa623465b01bf6f7b'}"
GPT-4,use,data generation,"{'spans': [[47, 97]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
GPT-4,instance of,data generation,"{'spans': [[47, 97]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
inference,subclass of,prompts,"{'spans': [[94, 144]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
inference,instance of,types,"{'spans': [[94, 144]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
comparison,instance of,types,"{'spans': [[94, 144]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
temporal,instance of,types,"{'spans': [[94, 144]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
comparison,subclass of,prompts,"{'spans': [[94, 144]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
temporal,subclass of,prompts,"{'spans': [[94, 144]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
MultiHop,instance of,RAG dataset,"{'spans': [[141, 191]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
MultiHop,has part,RAG,"{'spans': [[141, 191]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
RAG,part of,MultiHop,"{'spans': [[141, 191]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
source,part of,news,"{'spans': [[188, 238]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
metadata,facet of,retrieval,"{'spans': [[188, 238]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
metadata,facet of,news,"{'spans': [[188, 238]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
fact,subclass of,statement,"{'spans': [[235, 285]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
opinion,subclass of,statement,"{'spans': [[235, 285]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
fact,subclass of,evidence,"{'spans': [[235, 285]], 'source': '06cdd633ac7a459e9bff56bbca4ff6c5'}"
most dominant one,subclass of,topics,"{'spans': [[0, 50]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
most dominant,subclass of,topics,"{'spans': [[0, 50]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
he,different from,she,"{'spans': [[0, 50]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
she,different from,he,"{'spans': [[0, 50]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
group,subclass of,entity,"{'spans': [[39, 89]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
organization,subclass of,entity,"{'spans': [[39, 89]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
group,has part,individual,"{'spans': [[39, 89]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
case,subclass of,argument,"{'spans': [[78, 128]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
central argument concept,facet of,case,"{'spans': [[78, 128]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
central argument concept,subclass of,claim,"{'spans': [[78, 128]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
Evidence,subclass of,evidence,"{'spans': [[117, 167]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
Evidence,subclass of,claim,"{'spans': [[117, 167]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
Evidence,has effect,claim,"{'spans': [[117, 167]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
Claim Generation Prompt,instance of,Prompt,"{'spans': [[156, 206]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
Claim Generation Prompt,use,Claim Generation Prompt Prompt,"{'spans': [[156, 206]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
Claim Generation Prompt,has part,Claim Generation Prompt Prompt,"{'spans': [[156, 206]], 'source': 'f1be149789a54a1385d8e06aa8436117'}"
inferential leaps,subclass of,query,"{'spans': [[0, 50], [40, 90]], 'source': '778f8d56d4984e729bc68931db858332'}"
Claim Generation Prompting,subclass of,query,"{'spans': [[0, 50]], 'source': '778f8d56d4984e729bc68931db858332'}"
Evidence,subclass of,News,"{'spans': [[0, 50]], 'source': '778f8d56d4984e729bc68931db858332'}"
queries,uses,inferential leaps,"{'spans': [[40, 90]], 'source': '778f8d56d4984e729bc68931db858332'}"
news articles,subclass of,articles,"{'spans': [[40, 90]], 'source': '778f8d56d4984e729bc68931db858332'}"
Find the Connection,subclass of,multi-hop inference,"{'spans': [[80, 130]], 'source': '778f8d56d4984e729bc68931db858332'}"
Find the Connection,subclass of,inference,"{'spans': [[80, 130]], 'source': '778f8d56d4984e729bc68931db858332'}"
Find the Connection,instance of,multi-hop inference,"{'spans': [[80, 130]], 'source': '778f8d56d4984e729bc68931db858332'}"
Formulate the Question,subclass of,question,"{'spans': [[120, 170]], 'source': '778f8d56d4984e729bc68931db858332'}"
Formulate the Question,facet of,question,"{'spans': [[120, 170]], 'source': '778f8d56d4984e729bc68931db858332'}"
formulate the Question,subclass of,question,"{'spans': [[120, 170]], 'source': '778f8d56d4984e729bc68931db858332'}"
Linking,subclass of,understanding,"{'spans': [[160, 210]], 'source': '778f8d56d4984e729bc68931db858332'}"
linking,subclass of,understanding,"{'spans': [[160, 210]], 'source': '778f8d56d4984e729bc68931db858332'}"
Linking,instance of,understanding,"{'spans': [[160, 210]], 'source': '778f8d56d4984e729bc68931db858332'}"
Inference Query Generation Prompting,use,Inference Query Generation,"{'spans': [[200, 250], [0, 50]], 'source': '778f8d56d4984e729bc68931db858332'}"
Inference Query Generation Prompting,use,Prompting,"{'spans': [[200, 250]], 'source': '778f8d56d4984e729bc68931db858332'}"
Inference Query Generation Prompting,facet of,Inference Query Generation,"{'spans': [[200, 250]], 'source': '778f8d56d4984e729bc68931db858332'}"
metadata,subclass of,claims,"{'spans': [[0, 50]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
metadata,has part,claims,"{'spans': [[0, 50]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
factual,subclass of,claims,"{'spans': [[41, 91]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
factual elements,subclass of,claims,"{'spans': [[41, 91]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
factual,has part,claims,"{'spans': [[41, 91]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
yes,instance of,yes,"{'spans': [[82, 132]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
statement of alignment,subclass of,statement,"{'spans': [[82, 132]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
yes or no,instance of,statement of alignment,"{'spans': [[82, 132]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
The Good Comparison Questions,instance of,question from claims,"{'spans': [[123, 173]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
The Good Comparison Questions,use,question from claims,"{'spans': [[123, 173]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
The Good Comparison Questions,main subject,claims,"{'spans': [[123, 173]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
metadata,part of,Context,"{'spans': [[164, 214]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
Context,subclass of,metadata,"{'spans': [[164, 214]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
metadata,subclass of,information,"{'spans': [[164, 214]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
Ut,subclass of,points,"{'spans': [[205, 255]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
<time frame>.,facet of,time,"{'spans': [[205, 255]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
<key set>,instance of,keywords,"{'spans': [[246, 296]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
<key set>,subclass of,keywords,"{'spans': [[246, 296]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
<key set>,has part,<examples>,"{'spans': [[246, 296]], 'source': 'f99b408614674c1cb50c7d03a5d022be'}"
Your time-sensitive comparison question,instance of,query,"{'spans': [[0, 50]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
multi-hop question,subclass of,query,"{'spans': [[0, 50]], 'source': 'e8998ca3a1c74e6bb776e2060c288793'}"
